IAB ID,Company Name,Rating,Rating By Users,Rating Status,Google Map Number,EstablishedYear,5 Years Period,Office Address,Division,Thana,Postcode,Email ID,Contact,Website,Website Status,Name of Proprietor/Partner/Director,Lab ID,Designation,IAB Member Architect,Architectural Graduate,Total
IAB-RP-A01,ABASHAN UPODESHTA LIMITED ,3.8,4,Available,"23.757337816404448, 90.370728180003",1996,1996-2000,"Bengal Centre, Plot 2, Civil Aviation, New Airport Road, Khilkhet, Dhaka-1229",Dhaka, Khilkhet,Dhaka-1229,mail@abashan.com," +88-02-8901185, 8901180",www.abashan.com,Registered,Ar. Luva Nahid Chowdhury,C-018,Managing Director,3,2,5
IAB-RP-A02,ADS ARCHITECTS DESIGN STUDIO ,N/A,N/A,Unavailable,"23.871033289470223, 90.394364427156",2005,2001-2005,"House#29-31, Road#18, Sector#7, Uttara , Dhaka 1230",Dhaka, Uttara ,Dhaka-1230,ads.architectstudio@gmail.com, +88-02-8950536,Unavailable,Unregistered,Ar. Md. Sayedul Hasan,H-103,Principal Architect,4,1,5
IAB-RP-A03,AKRITY ,N/A,N/A,Unavailable,"23.813181917767896, 90.37096772603236",2008,2006-2010,"House-10/GA (GF), Road-2, Shyamoli, Dhaka",Dhaka, Shyamoli,Dhaka-1207,akriti.si@gmail.com,"01711-241294, 01684-224488",www.akritybd.com,Registered,Ar. Monir Hossain Khan,K-104,Architect,1,7,8
IAB-RP-A04,ANWAR & ASSOCIATES ,5,15,Available,"23.852816552839275, 90.41596879534842",2006,2006-2010,"House #221(GF), Road -15, New DOHS, Mohakhali, Dhaka 1206",Dhaka, Mohakhali, Dhaka-1206,ahaq06@yahoo.com, +88-02-8837313,http://www.anwarassociates.com,Registered,Ar. Anwarul Haq Chow,C-021,Principal Architect,3,4,7
IAB-RP-A05,ARC ARCHITECTURAL CONSULTANTS ,5,1,Available,"23.74271884416684, 90.39046841676327",1977,1976-1980,"60A, Road 7A, Dhanmondi, Dhaka-1209",Dhaka, Dhanmondi, Dhaka-1209,"arc.architect@gmail.com, nahaskhalil@yahoo.com", +88-02-8117462,Unavailable,Unregistered,Ar. Nahas Ahmed khalil,K-022,Principal Architect,5,3,8
IAB-RP-A06,ARCHDOERS ,N/A,N/A,Unavailable,"23.810507460600984, 90.41243965116891",2012,2011-2015,"H#252,R#19(old), West Dhanmondi,Dhaka-1209",Dhaka,Dhanmondi,Dhaka-1209,archdoers@gmail.com," 01816506988, 01816506989",https://archdoers.com,Registered,Ar. Quazi Fahima Naz,N-024,Partner Architect,3,2,5
IAB-RP-A07,ARCHEGROUND LTD. ,4.8,28,Available,"23.751202782307708, 90.38170851438687",2012,2011-2015,"“NoorMahal”, 44/1, Lake-Circus, Kalabagan, Dhaka-1205",Dhaka, Kalabagan, Dhaka-1205,"studio@archeground.com, arche_ground@yahoo.com", +88-02-9138516,www.archeground.com,Registered,Ar. Nabi Newaz Khan,K-106,Chairman,0,0,0
IAB-RP-A08,ARCHFIELD ,N/A,N/A,Unavailable,"23.792290436540217, 90.40627271068911",2010,2006-2010,"32/D, Road-10, Banani, Dhaka",Dhaka, Banani, Dhaka-1213,archfield2010@gmail.com," 01713338002, 01819117710",https://www.archdaily.com,Registered,Ar. Syeda Nitee Mahbub,M-090,Partner,4,1,5
IAB-RP-A09,ARCHITECT HASAN & ASSOCIATES LTD. ,N/A,N/A,Unavailable,"23.77316946047102, 90.36421964417818",1998,1996-2000,"House# 1/4,Flat# C4,Block# C, Lalmatia, Dhaka-1207",Dhaka, Lalmatia,Dhaka-1207,cmfoundation@gmail.com, +88-02-8125830,Unavailable,Unregistered,Ar. Md. Hasan Shams Uddin,S-014,Managing Director,1,5,6
IAB-RP-A10,ARCHITECTES CONTEMPORAIN (ARCON) ,N/A,N/A,Unavailable,"23.75509457713657, 90.36621550883854",1996,1996-2000,"House-2/8, Block-E, Lalmatia, Dhaka",Dhaka, Lalmatia,Dhaka-1207,sazal953@gmail.com," 044-78004350, 044-78004353",Unavailable,Unregistered,Ar. S.M. Helaluddin Ahmed,A-101,Proprietor,3,1,4
